bug_line,signal,is_libc,is_rfsimulator,category,test_case
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_693_mut2/ue_crash_2_20251214_224647.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_697_mut1/ue_crash_0_20251214_224715.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_697_mut1/ue_crash_0_20251214_224734.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_697_mut1/ue_crash_0_20251214_224752.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_697_mut1/ue_crash_1_20251214_224720.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_697_mut1/ue_crash_1_20251214_224738.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_697_mut1/ue_crash_1_20251214_224756.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_697_mut1/ue_crash_2_20251214_224724.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_697_mut1/ue_crash_2_20251214_224743.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_697_mut1/ue_crash_2_20251214_224800.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_697_mut2/ue_crash_0_20251214_224809.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_697_mut2/ue_crash_0_20251214_224826.log
